ID,title,type,image,released,timeline,description,series,number,publisher,ranking
845,The Padawan Path,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,7/6/2017,-20.9495,"On her way to a ceremony at the Jedi temple, Ahsoka gets caught up by a malfunctioning droid.",Forces of Destiny,4,Disney,
846,Beasts of Echo Base,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,7/7/2017,2.99,Leia searches for Chewbacca in the tunnels under Echo Base on Hoth.,Forces of Destiny,5,Disney,
847,The Imposter Inside,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,7/8/2017,-20.9498,Ahsoka and Padme fight off a bounty hunter.,Forces of Destiny,6,Disney,
848,The Stranger,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,7/9/2017,-1.9655,Some stormtroopers try to take a Lothcat away from her owner. Jyn Erso ain't having it.,Forces of Destiny,7,Disney,
849,Bounty of Trouble,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,7/9/2017,-1.9745,Sabine kidnaps Leia.,Forces of Destiny,8,Disney,
850,Newest Recruit,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,10/1/2017,-1.9658,,Forces of Destiny,9,Disney,
851,Tracker Trouble,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,10/2/2017,34.0035,The Falcon gets pulled out of hyperspace on the way to Takodana.,Forces of Destiny,10,Disney,
852,"Teach You, I Will",Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,10/3/2017,-20.9499,Yoda checks in on Ahsoka's progress in learning to dual wield her lightsabers.,Forces of Destiny,11,Disney,
853,The Starfighter Stunt,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,10/4/2017,-20.9496,Ahsoka teaches Padme about flying a starfighter.,Forces of Destiny,12,Disney,
854,Accidental Allies,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,10/29/2017,-1.9654,,Forces of Destiny,13,Disney,
855,An Imperial Feast,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,10/30/2017,4.002,,Forces of Destiny,14,Disney,
856,The Happabore Hazard,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,10/31/2017,33.9921,,Forces of Destiny,15,Disney,
857,Crash Course,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,11/1/2017,-1.9657,,Forces of Destiny,16,Disney,
858,Hasty Departure,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,3/19/2018,-1.9656,,Forces of Destiny,17,Disney,
859,Unexpected Company,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,3/19/2018,-20.9497,,Forces of Destiny,18,Disney,
860,Shuttle Shock,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,3/19/2018,,,Forces of Destiny,19,Disney,
861,Jyn's Trade,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,3/19/2018,-1.9,,Forces of Destiny,20,Disney,
862,Run Rey Run,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,3/19/2018,33.9922,,Forces of Destiny,21,Disney,
863,Bounty Hunted,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,3/19/2018,3.09,,Forces of Destiny,22,Disney,
864,The Path Ahead,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,3/19/2018,3.07,,Forces of Destiny,23,Disney,
865,Porg Problems,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,3/19/2018,,,Forces of Destiny,24,Disney,
866,Chopper and Friends,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,5/4/2018,4.004,,Forces of Destiny,25,Disney,
867,Monster Misunderstanding,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,5/4/2018,,,Forces of Destiny,26,Disney,
868,Art History,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,5/4/2018,,,Forces of Destiny,27,Disney,
869,Porgs!,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,5/4/2018,,,Forces of Destiny,28,Disney,
870,Perilous Pursuit,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,5/4/2018,,,Forces of Destiny,29,Disney,
871,Traps and Tribulations,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,5/4/2018,4.003,,Forces of Destiny,30,Disney,
872,A Disarming Lesson,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,5/4/2018,,,Forces of Destiny,31,Disney,
873,Triplecross,Short,https://minirogue.github.io/SWCovers/TV/forces_of_destiny.jpg,5/25/2018,,,Forces of Destiny,32,Disney,
874,The Machine in the Ghost,Short,https://minirogue.github.io/SWCovers/TV/rebels_season_1.jpg,8/11/2014,-2.04,"The ghost in on the run from several TIE fighters. While Hera flies and Kanan mans the blasters, it's up to Chopper to do...everything else.",Rebels,,Disney,
875,Entanglement,Short,https://minirogue.github.io/SWCovers/TV/rebels_season_1.jpg,8/25/2014,-2.02,"On his way to rendezvous with Kanan, Zeb runs into some trouble...then some more.",Rebels,,Disney,
876,Art Attack,Short,https://minirogue.github.io/SWCovers/TV/rebels_season_1.jpg,8/18/2014,-2.03,Sabine creates a diversion. A very pretty purple diversion.,Rebels,,Disney,
877,Property of Ezra Bridger,Short,https://minirogue.github.io/SWCovers/TV/rebels_season_1.jpg,9/1/2014,-2.01,"Ezra sees a TIE fighter get shot down by a odified VCX-100 light freighter. He proceeds to ""help"" the pilot of the downed TIE.",Rebels,,Disney,
878,Star Wars (2020) #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_1.jpg,1/1/2020,,,Marvel's Star Wars (2020),1,Marvel,
879,Star Wars (2020) #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_2.jpg,1/29/2020,,,Marvel's Star Wars (2020),2,Marvel,
880,The Missing Agent,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,12/22/2019,34.512,"Kaz, Jarek, and Synara respond to a Resistance distress beacon and find a bounty hunter waiting for them.",Resistance,212,Disney,
881,Breakout,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,12/29/2019,34.513,Yeager and Synara have been captured by the bounty hunter and handed over to the First Order. Kaz and Norath must find a way to free them and get back to the Colossus.,Resistance,213,Disney,
882,The Mutiny,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/5/2020,34.514,Kragan and his pirates acquire a set of B2 super battle droids and plan a mutiny on the Colossus.,Resistance,214,Disney,
883,The New World,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/12/2020,34.515,The Colossus finds a new world to call home. First they must figure out if it's truly a safe place to hide.,Resistance,216,Disney,
884,No Place Safe,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/12/2020,34.516,Kaz decides it's time to leave the Colossus and fight with the Resistance proper.,Resistance,215,Disney,
885,Rebuilding the Resistance,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/19/2020,34.517,"Kaz, Torra, and Hype help out the Resistance on a mission to escort recruits off of Dantooine.",Resistance,217,Disney,
886,The Escape: Part 1,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/26/2020,34.518,Kaz and Neeku decode a message that appears to be from Tam. They head back to Castilon in hopes of bringing her home.,Resistance,218,Disney,
887,The Mandalorian (Season 2),TV Season,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,10/31/2020,8,,The Mandalorian,2,Disney,
888,Star Wars Adventures #30,Comic Book,https://minirogue.github.io/SWCovers/Comics/swa_30.jpg,1/29/2020,,,Star Wars Adventures,30,IDW,
889,Star Wars Adventures #31,Comic Book,https://minirogue.github.io/SWCovers/Comics/swa_31.jpg,3/18/2020,,,Star Wars Adventures,31,IDW,
890,Star Wars Adventures #32,Comic Book,https://minirogue.github.io/SWCovers/Comics/swa_32.jpg,7/15/2020,,,Star Wars Adventures,32,IDW,
891,R2-D2 is Lost,Youth,https://minirogue.github.io/SWCovers/Youth/r2d2_is_lost.jpg,2/11/2020,,,,,Disney-Lucasfilm Press,
892,The Rise of Skywalker: Expanded Edition,Novelization,https://minirogue.github.io/SWCovers/Novels/the_rise_of_skywalker_expanded_edition.jpg,3/17/2020,,The official novelization of Episode IX.,,,Del Rey Books,
893,The Rise of Skywalker: A Junior Novel,Youth,https://minirogue.github.io/SWCovers/Youth/the_rise_of_skywalker.jpg,4/2/2020,,The official junior novelization of Episode IX.,,,Disney-Lucasfilm Press,
894,Chaos Rising,Original Novel,https://minirogue.github.io/SWCovers/Novels/chaos_rising.jpg,10/6/2020,,The first in the Ascendency Trilogy. Set in the Unknown Regions before Thrawn journeyed into the Empire.,Ascendency Trilogy,,Del Rey Books,
895,Queen's Peril,Original Novel,https://minirogue.github.io/SWCovers/Novels/queens_peril.jpg,6/2/2020,,Prequel to Queen's Shadow.,,,Disney-Lucasfilm Press,
896,Shadow Fall,Original Novel,https://minirogue.github.io/SWCovers/Novels/shadow_fall.jpg,6/23/2020,,"The sequel to Alphabet Squadron, and the second in a trilogy.",Alphabet Squadrion (trilogy),,Del Rey Books,
897,Dark Legends,Original Novel,https://minirogue.github.io/SWCovers/Novels/dark_legends.jpg,7/28/2020,,A collection of short stories.,,,Disney-Lucasfilm Press,
898,The Clone Wars: Stories of Light and Dark,Original Novel,https://minirogue.github.io/SWCovers/Novels/the_clone_wars_stories_of_light_and_dark.jpg,8/25/2020,,A collection of short stories adapting episodes or story arcs from The Clone Wars TV series from the point of view of one main character.,,,Disney-Lucasfilm Press,
899,Star Wars (2020) #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_3.jpg,2/26/2020,,,Marvel's Star Wars (2020),3,Marvel,
900,Darth Vader (2020) #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_01.jpg,2/5/2020,,,Darth Vader (2020),1,Marvel,
901,Bounty Hunters #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_1.jpg,3/11/2020,,,Bounty Hunters,1,Marvel,
902,Darth Vader (2020) #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_02.jpg,3/11/2020,,,Darth Vader (2020),2,Marvel,
903,Star Wars (2020) #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_4.jpg,3/18/2020,,,Marvel's Star Wars (2020),4,Marvel,
904,Bounty Hunters #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_2.jpg,3/25/2020,,,Bounty Hunters,2,Marvel,
905,Doctor Aphra (2020) #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_1.jpg,5/27/2020,,,Doctor Aphra (2020),1,Marvel,
906,Bounty Hunters #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_3.jpg,6/24/2020,,,Bounty Hunters,3,Marvel,
907,Darth Vader (2020) #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_3.jpg,7/29/2020,,,Darth Vader (2020),3,Marvel,
908,Star Wars (2020) #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_5.jpg,8/5/2020,,,Marvel's Star Wars (2020),5,Marvel,
909,Doctor Aphra (2020) #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_2.jpg,7/22/2020,,,Doctor Aphra (2020),2,Marvel,
910,Star Wars (2020) Vol. 4: Crimson reign,TPB,https://minirogue.github.io/SWCovers/TPB/star_wars_crimson_reign.jpg,9/14/2022,,,Marvel's Star Wars (2020),4,Marvel,
911,Darth Vader (2020) Vol. 1,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_dark_heart_of_the_sith.jpg,11/25/2020,,,Darth Vader (2020),1,Marvel,
912,The Bad Batch,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,2/21/2020,-20.876,Captain Rex and Commander Cody team up with Clone Force 99 also known as the Bad Batch.,The Clone Wars,701,Disney,
913,A Distant Echo,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,2/28/2020,-20.875,,The Clone Wars,702,Disney,
914,On the Wings of Keeradaks,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,3/6/2020,-20.874,,The Clone Wars,703,Disney,
915,Unfinished Business,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,3/13/2020,-20.873,,The Clone Wars,704,Disney,
916,Gone With a Trace,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,3/20/2020,-20.88,Ahsoka tries to find her place on Coruscant after leaving the Jedi Order. She crashes her speeder bike on one of the lower levels and makes a new friend.,The Clone Wars,705,Disney,
917,Deal No Deal,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,3/27/2020,-20.879,"Rafa shows up to the garage with a job, and she needs Trace and Ahsoka's help.",The Clone Wars,706,Disney,
918,Dangerous Debt,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,4/3/2020,-20.878,"Ahsoka, Trace, and Rafa try to figure out a way to free themselves from the Pykes.",The Clone Wars,707,Disney,
919,Together Again,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,4/10/2020,-20.877,,The Clone Wars,708,Disney,
920,Old Friends Not Forgotten,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,4/17/2020,-18.9999,,The Clone Wars,709,Disney,
921,The Phantom Apprentice,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,4/24/2020,-18.9998,,The Clone Wars,710,Disney,
922,Shattered,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,5/1/2020,-18.9997,,The Clone Wars,711,Disney,
923,Victory and Death,TV Episode,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,5/8/2020,-18.9996,,The Clone Wars,712,Disney,
924,The Escape: Part 2,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/26/2020,34.519,The thrilling conclusion of The Escape: Part 1 (and the series for that matter).,Resistance,219,Disney,
925,The Clone Wars - Battle Tales #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_clone_wars-battle_tales_1.jpg,4/8/2020,,,The Clone Wars - Battle Tales,1,IDW,
926,Bounty Hunters #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_4.jpg,8/19/2020,,,Bounty Hunters,4,Marvel,
927,Doctor Aphra (2020) #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_3.jpg,8/26/2020,,,Doctor Aphra (2020),3,Marvel,
928,Darth Vader (2020) #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_4.jpg,8/12/2020,,,Darth Vader (2020),4,Marvel,
929,Star Wars (2020) #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_6.jpg,9/16/2020,,,Marvel's Star Wars (2020),6,Marvel,
930,Star Wars (2020) #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_7.jpg,10/7/2020,,,Marvel's Star Wars (2020),7,Marvel,
931,Bounty Hunters #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_5.jpg,9/23/2020,,,Bounty Hunters,5,Marvel,
932,The Rise of Skywalker (comic) #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_rise_of_skywalker_1.jpg,6/3/2020,,,The Rise of Skywalker (comics),1,Marvel,
933,Doctor Aphra (2020) #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_4.jpg,9/30/2020,,,Doctor Aphra (2020),4,Marvel,
934,Star Wars Adventures Vol. 10: Driving Force,TPB,https://minirogue.github.io/SWCovers/TPB/swa_driving_force.jpg,9/22/2020,,,Star Wars Adventures,10,IDW,
935,Darth Vader (2020) #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_5.jpg,9/16/2020,,,Darth Vader (2020),5,Marvel,
936,Poe Dameron: Free Fall,Original Novel,https://minirogue.github.io/SWCovers/Novels/poe_dameron_free_fall.jpg,8/4/2020,,,,,Disney-Lucasfilm Press,
937,Light of the Jedi,Original Novel,https://minirogue.github.io/SWCovers/Novels/light_of_the_jedi.jpg,1/5/2021,-232.5,A story 200 years before The Phantom Menace.,The High Republic,,Del Rey Books,
938,A Test of Courage,Youth,https://minirogue.github.io/SWCovers/Youth/a_test_of_courage.jpg,1/5/2021,-232.4,A story 200 years before The Phantom Menace.,The High Republic,,Disney-Lucasfilm Press,
939,Into the Dark,Original Novel,https://minirogue.github.io/SWCovers/Novels/into_the_dark.jpg,10/13/2020,-232.3,A story 200 years before The Phantom Menace.,The High Republic,,Disney-Lucasfilm Press,
940,Chapter 9: The Marshal,TV Episode,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,10/30/2020,7.11,,The Mandalorian,9,Disney,
941,Chapter 10: The Passenger,TV Episode,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,11/6/2020,7.12,,The Mandalorian,10,Disney,
942,Chapter 11: The Heiress,TV Episode,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,11/13/2020,7.13,,The Mandalorian,11,Disney,
943,Chapter 12: The Siege,TV Episode,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,11/20/2020,7.14,,The Mandalorian,12,Disney,
944,Chapter 13: The Jedi,TV Episode,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,11/27/2020,7.15,,The Mandalorian,13,Disney,
945,Chapter 14: The Tragedy,TV Episode,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,12/4/2020,7.16,,The Mandalorian,14,Disney,
946,Chapter 15: The Believer,TV Episode,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,12/11/2020,7.17,,The Mandalorian,15,Disney,
947,Chapter 16: The Rescue,TV Episode,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,12/18/2020,7.18,,The Mandalorian,16,Disney,
948,Darth Vader (2020) #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_6.jpg,10/14/2020,,,Darth Vader (2020),6,Marvel,
949,Bounty Hunters #6,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_6.jpg,10/21/2020,,,Bounty Hunters,6,Marvel,
950,Doctor Aphra (2020) #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_5.jpg,10/28/2020,,,Doctor Aphra (2020),5,Marvel,
951,Star Wars (2020) #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_8.jpg,11/4/2020,,,Marvel's Star Wars (2020),8,Marvel,
952,Darth Vader (2020) #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_7.jpg,11/11/2020,,,Darth Vader (2020),7,Marvel,
953,Bounty Hunters #7,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_7.jpg,11/18/2020,,,Bounty Hunters,7,Marvel,
954,Doctor Aphra (2020) #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_5.jpg,11/25/2020,,,Doctor Aphra (2020),6,Marvel,
955,Star Wars (2020) #09,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_9.jpg,12/9/2020,,,Marvel's Star Wars (2020),9,Marvel,
956,Darth Vader (2020) #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_8.jpg,12/16/2020,,,Darth Vader (2020),8,Marvel,
957,Bounty Hunters #8,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_8.jpg,12/23/2020,,,Bounty Hunters,8,Marvel,
958,Star Wars Adventures Vol. 11: Rise of the Wookiees,TPB,https://minirogue.github.io/SWCovers/TPB/swa_rise_of_the_wookiees.jpg,1/19/2021,,,Star Wars Adventures,11,IDW,
959,Star Wars Adventures (2020) #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/swa_2020_01.jpg,10/7/2020,,,Star Wars Adventures (2020),1,IDW,
960,Star Wars Adventures (2020) #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/swa_2020_02.jpg,11/25/2020,,,Star Wars Adventures (2020),2,IDW,
961,Star Wars Adventures (2020) #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/swa_2020_03.jpg,12/30/2020,,,Star Wars Adventures (2020),3,IDW,
962,Shadow of Vader's Castle,Comic Book,https://minirogue.github.io/SWCovers/Comics/shadow_of_vaders_castle.jpg,11/4/2020,,,,1,IDW,
963,The Clone Wars - Battle Tales #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_clone_wars-battle_tales_2.jpg,6/24/2020,,,The Clone Wars - Battle Tales,2,IDW,
964,The Clone Wars - Battle Tales #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_clone_wars-battle_tales_3.jpg,8/5/2020,,,The Clone Wars - Battle Tales,3,IDW,
965,The Clone Wars - Battle Tales #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_clone_wars-battle_tales_4.jpg,8/26/2020,,,The Clone Wars - Battle Tales,4,IDW,
966,The Clone Wars - Battle Tales #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_clone_wars-battle_tales_5.jpg,9/30/2020,,,The Clone Wars - Battle Tales,5,IDW,
